,PlanetIdentifier,SystemName,x,y,z,DistFromSunly
1209,Proxima Centauri b,Proxima Centauri,-1.579242494406583,-1.3204903612868815,-3.688756477962311,4.22429
1210,Alpha Centauri B b,Alpha Centauri B,-1.579242494406583,-1.3204903612868815,-3.688756477962311,4.22429
1211,Alpha Centauri B c,Alpha Centauri B,-1.579242494406583,-1.3204903612868815,-3.688756477962311,4.22429
1751,WISE 0855-0714,WISE 0855-07,-5.167362043962427,5.389261166257916,-1.0167467909370689,7.53522
1214,Lalande 21185 b,Lalande 21185,-6.527307387336052,1.6476243193761295,4.8857322873269,8.3181
785,eps Eridani b,eps Eridani,6.194153143733656,8.289739750177405,-1.7239624083472176,10.4909182
172,Gliese 15 A b,Gliese 15 A,8.386543757190557,0.6740788166663924,8.131425569239733,11.700793999999998
2020,tau Ceti f,tau Ceti,10.288512276686244,5.021747403089107,-3.2693344646952602,11.9063
2019,tau Ceti e,tau Ceti,10.288512276686244,5.021747403089107,-3.2693344646952602,11.9063
2017,tau Ceti c,tau Ceti,10.288512276686244,5.021747403089107,-3.2693344646952602,11.9063
2016,tau Ceti b,tau Ceti,10.288512276686244,5.021747403089107,-3.2693344646952602,11.9063
2018,tau Ceti d,tau Ceti,10.288512276686244,5.021747403089107,-3.2693344646952602,11.9063
1645,GJ 273 c,GJ 273,-4.5941900310551125,11.45729686792335,1.1290109825983254,12.3956
1644,GJ 273 b,GJ 273,-4.5941900310551125,11.45729686792335,1.1290109825983254,12.3956
271,Kapteyn b,Kapteyn,1.886954168956632,8.816163437878513,-9.02163487053601,12.75442
272,Kapteyn c,Kapteyn,1.886954168956632,8.816163437878513,-9.02163487053601,12.75442
684,Wolf 1061 b,Wolf 1061,-5.211116760468852,-12.627619042143074,-3.0691822970503413,14.001156400000001
686,Wolf 1061 d,Wolf 1061,-5.211116760468852,-12.627619042143074,-3.0691822970503413,14.001156400000001
685,Wolf 1061 c,Wolf 1061,-5.211116760468852,-12.627619042143074,-3.0691822970503413,14.001156400000001
1600,Gliese 687 b,Gliese 687,-0.5562069558474895,-5.38956957532701,13.642441666174584,14.679
2084,Gliese 674 b,Gliese 674,-1.3792546620108728,-10.025388913752192,-10.812489610433664,14.80948
246,Gliese 876 c,Gliese 876,14.202722100854158,-4.25989738393917,-3.766779618270376,15.29878
247,Gliese 876 d,Gliese 876,14.202722100854158,-4.25989738393917,-3.766779618270376,15.29878
248,Gliese 876 e,Gliese 876,14.202722100854158,-4.25989738393917,-3.766779618270376,15.29878
245,Gliese 876 b,Gliese 876,14.202722100854158,-4.25989738393917,-3.766779618270376,15.29878
1189,Gliese 832 b,Gliese 832,8.484887219531856,-6.3033535123030076,-12.16324147952191,16.11428
1190,Gliese 832 c,Gliese 832,8.484887219531856,-6.3033535123030076,-12.16324147952191,16.11428
255,GJ 682 b,GJ 682,-1.184438497084625,-11.794175254128717,-11.575109180509953,16.567698
256,GJ 682 c,GJ 682,-1.184438497084625,-11.794175254128717,-11.575109180509953,16.567698
1208,GJ 229 b,GJ 229,-0.8030627892016624,17.388740643458036,-6.985204452351437,18.7565
556,HD 20794 c,HD 20794,9.220506089876672,10.980446113212988,-13.607895671255452,19.767719999999997
557,HD 20794 d,HD 20794,9.220506089876672,10.980446113212988,-13.607895671255452,19.767719999999997
555,HD 20794 b,HD 20794,9.220506089876672,10.980446113212988,-13.607895671255452,19.767719999999997
1658,Gliese 581 c,Gliese 581,-12.9408621121357,-15.345095449399379,-2.7219464954170807,20.25702
1661,Gliese 581 f,Gliese 581,-12.9408621121357,-15.345095449399379,-2.7219464954170807,20.25702
1660,Gliese 581 e,Gliese 581,-12.9408621121357,-15.345095449399379,-2.7219464954170807,20.25702
1659,Gliese 581 d,Gliese 581,-12.9408621121357,-15.345095449399379,-2.7219464954170807,20.25702
1662,Gliese 581 g,Gliese 581,-12.9408621121357,-15.345095449399379,-2.7219464954170807,20.25702
1657,Gliese 581 b,Gliese 581,-12.9408621121357,-15.345095449399379,-2.7219464954170807,20.25702
498,HD 219134 e,HD 219134,11.33734480914952,-2.3435750884260687,17.942271266427316,21.353052
497,HD 219134 d,HD 219134,11.33734480914952,-2.3435750884260687,17.942271266427316,21.353052
496,HD 219134 c,HD 219134,11.33734480914952,-2.3435750884260687,17.942271266427316,21.353052
495,HD 219134 b,HD 219134,11.33734480914952,-2.3435750884260687,17.942271266427316,21.353052
499,HD 219134 f,HD 219134,11.33734480914952,-2.3435750884260687,17.942271266427316,21.353052
500,HD 219134 g,HD 219134,11.33734480914952,-2.3435750884260687,17.942271266427316,21.353052
1170,Gliese 667 C h,Gliese 667 C,-3.318511006785435,-18.32869975452588,-13.037573091104298,22.73614
1171,Gliese 667 C c,Gliese 667 C,-3.318511006785435,-18.32869975452588,-13.037573091104298,22.73614
1172,Gliese 667 C f,Gliese 667 C,-3.318511006785435,-18.32869975452588,-13.037573091104298,22.73614
1173,Gliese 667 C e,Gliese 667 C,-3.318511006785435,-18.32869975452588,-13.037573091104298,22.73614
1169,Gliese 667 C b,Gliese 667 C,-3.318511006785435,-18.32869975452588,-13.037573091104298,22.73614
1174,Gliese 667 C d,Gliese 667 C,-3.318511006785435,-18.32869975452588,-13.037573091104298,22.73614
1175,Gliese 667 C g,Gliese 667 C,-3.318511006785435,-18.32869975452588,-13.037573091104298,22.73614
1808,Fomalhaut b,Fomalhaut,21.042509735512006,-5.8702362383838915,-12.421454311679886,25.130447999999998
505,61 Vir d,61 Vir,-24.855943754283597,-8.851435623187484,-8.731709552547988,27.79224
504,61 Vir c,61 Vir,-24.855943754283597,-8.851435623187484,-8.731709552547988,27.79224
503,61 Vir b,61 Vir,-24.855943754283597,-8.851435623187484,-8.731709552547988,27.79224
2109,Gliese 785 c,Gliese 785,14.26422068230794,-21.290896710286972,-13.07635116934039,28.77084
2108,Gliese 785 b,Gliese 785,14.26422068230794,-21.290896710286972,-13.07635116934039,28.77084
383,Gliese 433 c,Gliese 433,-24.71677479284678,2.65783207258871,-15.86150765923632,29.488479999999996
