PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr
0.088,0.44,11.759,0.098,0,850,0.91,0.86,0.3,4950,11
0.505,0.96,2.455239,0.027,0.11,774,0.59,0.55,0.08,3820,13.9
5,0.7,166510,67.96,0,1100,1.516,1.44,-0.47,7193,0.033
7,1,83255,42.81,0,1200,1.516,1.44,-0.47,7193,0.033
7,1.1,41628,26.97,0,1200,1.516,1.44,-0.47,7193,0.033
7,1,20816,16.99,0,1200,1.516,1.44,-0.47,7193,0.033
0.62,1.02,3.039577,0.04,0,1102.7,0.92,0.87,0.14,5300,3.6
0.975,1.277,4.641876,0.0575,0,1427,1.179,1.528,0.27,5743,5.1
0.714,1.38,3.52474859,0.04747,0.0004,1316.1,1.148,1.146,0.02,6075,4
0.7,0.975,8.5234865,0.0775,0.018,832,0.854,0.768,0.09,5280,1
4.24,0.84,9.2,0.0902,0.562,1002,1.14,1.02,0.14,5880,0.1
1.33,1.164,1.42002504,0.02343,0,1389,0.85,0.8,0.2,4910,4.5
0.43,1.15,7.8914483,0.082,0.016,976,1.15,1.24,0.23,5972,1.5
0.023754977,0.213245,9.4903,0.08,0.078,757,0.77,0.741,-0.23,5119,6.1
0.854,1.483,2.5199464,0.03889,0,1644.3,1.24,1.47,0.23,6160,3.4
1.323,1.02,2.516729,0.0362,0.016,1315,1.001,0.925,0.43,5403,2.1
1.138,1.697,3.547849,0.0497,0.253,1816,1.3,1.725,-0.157,6351,3.1
0.892,1.426,3.128992,0.0452,0.049,1652,1.259,1.319,0.07,6330,2
1.02,1.2,114.7309,0.471,0.036,478.1,1.1,1.82,-0.17,5600,7.5
0.020132,0.55954,192.363,0.664,0.039,403.3,1.1,1.82,-0.17,5600,7.5
0.869,1.002,2.4238133,0.03445,0,1304,0.917,0.865,0.06,5410,4.1
0.907,1.213,3.40883,0.04469,0,1468,1.021,1.094,-0.29,6150,5
1.275,1.321,3.0763402,0.0439,0,1713,1.192,1.475,0.01,6200,4.3
0.010475,0.133962,0.8374907,0.01685,0,2169,0.91,1.065,-0.15,5643,10.6
0.054106,0.214156,45.294301,0.241,0,584,0.91,1.065,-0.15,5643,10.6
2.71,1.09,6.87188,0.0758,0.028,1152.9,1.23,1.35,-0.12,6150,3.41
1.345,1.168,1.354133,0.023,0,1577,0.88,0.89,0.15,5227,9.7
0.711,1.34,2.810595,0.0419,0.035,1552.5,1.242,1.215,0.13,6304,1
0.313,1.458,4.8996285,0.06003,0,1379,1.202,1.392,-0.009,5950,7
0.2755,1.021,10.02165,0.09459,0.302,1024,1.126,1.17,-0.11,6040,4.6
0.0383853,0.435365216,9.75598,0.092,0.077,885,1.099,1.136,0.17,5939,3.3
1.45,0.94,86.647661,0.382,0.772,511,0.99,1.13,0.27,5520,9.3
0.0330298,0.1558328,3.743208,0.05119,0.25,1486,1.28,1.52,0.02,6182,3.16
0.04907293,0.39368287,10.423648,0.1013,0.43,1012,1.28,1.52,0.02,6182,3.16
0.33,1,22.342989,0.1684,0.022,806,1.28,1.52,0.02,6182,3.16
0.11009952,0.59781473,54.32031,0.3046,0.019,584,1.28,1.52,0.02,6182,3.16
0.66,1.283,3.332688,0.0443,0,1361,1.048,1.104,0.23,5645,5.7
3.94,0.921,111.4273,0.463,0.93369,339.6,0.98,0.978,0.43,5370,7.63
1.84,1.101,50.790391,0.2804,0.0323,704,1.129,1.606,-0.04,6150,5.3
0.094,0.719,18.7959228,0.1445,0.0493,984,1.129,1.606,-0.04,6150,5.3
0.0055264,0.37647,10.9542,0.098,0.0561,791,1.022,0.961,0.37,5513,2.45
0.595,1.192,2.6843285,0.03585,0.019,1605,0.85,0.95,-0.1,5560,11
0.292,1.109,4.0087844,0.0466,0.067,1010,0.842,0.82,0.23,4990,5.5
1.709,1.4588,2.204737,0.0379,0,2733,1.59,2.02,0.32,6310,1.77
0.026,0.206,5.398763,0.0617,0.02,1280,1.079,1.243,0.12,5793,6.3
3.6,1.19,2.718659,0.0394,0.018,1427.6,1.1,1.09,-0.13,6100,2.42
5.9,1.04,3.3564227,0.0427,0.193,1120,0.92,0.88,0.15,4955,1.3
1.372,1.972,1.7100567,0.03107,0,1960,1.4,1.567,0.32,5720,5
