PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
HD 100546 b,17.5,6,1028
CT Cha B,,2.4,2500
KOI-368.01,,2.1,3060
HAT-P-67 b,0.34,2.085,
XO-6 b,1.9,2.07,
HAT-P-32 b,0.941,2.037,1677.4
WASP-17 b,0.486,1.991,1517.8
Kepler-435 b,0.84,1.99,
KOI-680 b,0.84,1.99,1729
WASP-122 b,1.372,1.972,1960
KOI-3681.01,4.2,1.97,
CVSO 30 b,6.2,1.91,
PTFO 8-8695 b,,1.91,
HAT-P-65 b,0.527,1.89,
HATS-23 b,1.47,1.86,
KELT-8 b,0.867,1.86,1675
TrES-4 A b,0.494,1.838,1795
WASP-76 b,0.92,1.83,2160
HAT-P-33 b,0.763,1.827,1675.2
WASP-121 b,1.183,1.807,2358
GQ Lup b,21.5,1.8,
KELT-12 b,0.95,1.79,
Kepler-12 b,0.43,1.75,1354.2
WASP-78 b,1.16,1.75,2006.7
HATS-26 b,0.65,1.75,
WASP-12 b,1.404,1.736,2319.7
HAT-P-40 b,0.615,1.73,1614.8
OGLE-TR-10 b,0.68,1.72,1702
WASP-94 A b,0.452,1.72,
1RXS1609 b,,1.7,2000
WASP-88 b,0.56,1.7,1772
WASP-79 b,0.9,1.7,1958.7
KELT-4A b,0.902,1.699,
HATS-3 b,1.138,1.697,1816
WASP-100 b,2.03,1.69,2190
HAT-P-41 b,0.8,1.685,1689.7
WASP-82 b,1.24,1.67,2190
WASP-48 b,0.98,1.67,2030
HATS-19 b,0.427,1.66,
WASP-54 b,0.636,1.653,1759
beta Pic b,11,1.65,1600
Kepler-447 b,1.37,1.65,
HATS-31 b,0.88,1.64,
CVSO 30 c,4.7,1.63,1600
WASP-90 b,0.63,1.63,1840
Kepler-7 b,0.44,1.62,1486.8
XO-4 b,1.615,1.615,
OGLE2-TR-L9 b,4.34,1.614,2154.6
WASP-103 b,1.47,1.603,2508
Kepler-469 b,,1.597,
WASP-93 b,1.47,1.597,
HAT-P-66 b,0.783,1.59,
HAT-P-39 b,0.599,1.571,1601.9
KELT-18 b,1.18,1.57,
WASP-74 b,0.95,1.56,1910
Qatar-4 b,5.85,1.552,
AB Pic b,12,1.55,1750
WASP-31 b,0.478,1.537,1410.6
KELT-7 b,1.28,1.533,2048
PSO J318.5-22,6.5,1.53,1160
WASP-142 b,0.84,1.53,
KELT-17 b,1.31,1.525,2087
Kepler-840 b,,1.523,
WASP-120 b,5.01,1.515,1890
HATS-11 b,0.85,1.51,
Kepler-13 A b,9.28,1.51,2750
HATS-27 b,0.53,1.5,
Kepler-854 b,,1.492,
WTS-1 b,4.01,1.49,1362.3
CoRoT-1 b,1.03,1.49,1898
HATS-24 b,2.44,1.487,
WASP-1 b,0.854,1.483,1644.3
Kepler-718 b,,1.477,
EPIC 201565013 b,,1.472,536
OGLE-TR-182 b,1.06,1.47,1235
HAT-P-56 b,2.18,1.466,1840
CoRoT-2 b,3.31,1.465,1392.7
HATS-35 b,1.222,1.464,
wasp-92 b,0.805,1.461,
WASP-71 b,2.242,1.46,1888.1
HAT-P-7 b,1.709,1.4588,2733
WASP-20 b,0.313,1.458,1379
WASP-3 b,2.06,1.454,1825.6
KOI-206 b,2.82,1.45,1776
Kepler-433 b,2.82,1.45,
CoRoT-19 b,1.11,1.45,1515.3
WASP-109 b,0.91,1.443,1695
KELT-15 b,0.91,1.443,1642
WASP-111 b,1.83,1.442,2140
WASP-140 b,2.44,1.44,
2MASS J0219-3925 B,13.9,1.44,1683
WASP-118 b,0.514,1.44,
KOI-12 b,,1.44,
CoRoT-12 b,0.917,1.44,1318.7
EPIC 216468514 b,0.84,1.44,
WASP-33 b,4.59,1.438,2451.5
Kepler-5 b,2.114,1.431,1652.1
HATS-34 b,0.941,1.43,
WASP-63 b,0.38,1.43,1540
WASP-81 b,0.729,1.429,
WASP-15 b,0.542,1.428,1511.3
HAT-P-45 b,0.892,1.426,1652
Kepler-8 b,0.59,1.42,1519.5
KELT-16 b,2.75,1.415,
HAT-P-49 b,1.73,1.413,2131
HAT-P-57 b,,1.413,
WASP-101 b,0.5,1.41,1560
Kepler-488 b,,1.409,
WASP-113 b,0.475,1.409,
WASP-13 b,0.5,1.407,1203.3
Kepler-91 b,0.66,1.4,
HAT-P-9 b,0.67,1.4,1397.3
WASP-119 b,1.23,1.4,1600
WASP-67 b,0.42,1.4,940.6
KELT-10 b,0.679,1.399,1377
WASP-62 b,0.57,1.39,1305.2
WASP-66 b,2.32,1.39,1647.5
CoRoT-11 b,2.49,1.39,1593.4
CoRoT-5 b,0.467,1.388,1316.3
WASP-19 b,1.168,1.386,1911.5
WASP-87 b,2.18,1.385,2322
HD 209458 b,0.714,1.38,1316.1
WASP-136 b,1.51,1.38,
WASP-127 b,0.18,1.37,
KELT-11 b,0.195,1.37,
WASP-58 b,0.89,1.37,1270
HAT-P-23 b,2.09,1.368,1873.6
WTS-2 b,1.12,1.363,2000
WASP-4 b,1.1215,1.363,1710.4
Kepler-76 b,2.01,1.36,
KELT-3 b,1.462,1.358,1667.7
K2-34 b,1.78,1.35,
Kepler-493 b,,1.35,
HATS-12 b,2.4,1.35,
HAT-P-30 b,0.711,1.34,1552.5
WASP-114 b,1.769,1.339,
HATS-18 b,1.98,1.337,
Kepler-471 b,,1.335,
HAT-P-35 b,1.054,1.332,1442.8
HAT-P-6 b,1.057,1.33,1529.9
WASP-7 b,0.96,1.33,1359.5
Kepler-17 b,2.47,1.33,1622.7
WASP-123 b,0.92,1.327,1510
Kepler-412 b,0.939,1.325,
HAT-P-8 b,1.275,1.321,1713
WASP-35 b,0.72,1.32,1450
HAT-P-53 b,1.484,1.318,1778
HAT-47 b,0.206,1.313,
WASP-46 b,2.101,1.31,1516.6
CoRoT-18 b,3.47,1.31,1396
K2-97 b,1.1,1.31,
TrES-3 b,1.91,1.305,
HATS-1 b,1.855,1.302,1250.3
CoRoT-21 b,2.26,1.3,1867
WASP-135 b,1.9,1.3,
HATS-16 b,3.27,1.3,
2M 2206-20 b,30,1.3,2350
Kepler-6 b,0.67,1.3,1374.1
WASP-55 b,0.57,1.3,1160.1
HAT-P-51 b,0.309,1.293,1192
K2-99 b,0.97,1.29,
KELT-2A b,1.524,1.29,1712
Kepler-470 b,,1.288,
HAT-P-50 b,1.35,1.288,1862
Kepler-485 b,,1.286,
WASP-108 b,0.892,1.284,1590
HAT-P-46 b,0.493,1.284,1458
HAT-P-43 b,0.66,1.283,1361
WASP-14 b,7.341,1.281,1718.8
WASP-26 b,1.028,1.281,1521.3
HAT-P-13 b,0.85,1.28,1504.3
HAT-P-44 b,0.392,1.28,1126
HAT-P-42 b,0.975,1.277,1427
WASP-64 b,1.271,1.271,1689
WASP-52 b,0.46,1.27,1315
WASP-75 b,1.07,1.27,1710
HAT-P-4 b,0.68,1.27,1550.7
WASP-39 b,0.28,1.27,1021.8
WASP-36 b,2.279,1.269,1554.5
HAT-P-36 b,1.832,1.264,1669.2
CoRoT-26 b,0.52,1.26,
HATS-25 b,0.613,1.26,
WASP-25 b,0.58,1.26,1135
OGLE-TR-211 b,0.75,1.26,1581.5
Kepler-699 b,,1.259,
WASP-102 b,0.624,1.259,
HAT-P-5 b,1.06,1.252,1387.4
HATS-29 b,0.653,1.251,
HATS-32 b,0.92,1.249,
HAT-P-24 b,0.685,1.242,1495
WASP-124 b,0.6,1.24,1400
WASP-85 A b,1.265,1.24,1452
WASP-68 b,0.95,1.24,1490
WASP-61 b,2.06,1.24,1417.5
Kepler-731 b,,1.238,
WASP-110 b,0.51,1.238,1134
KOI-192 b,0.29,1.23,1100
HATS-33 b,1.192,1.23,
OGLE-TR-132 b,1.17,1.227,1812
WASP-6 b,0.503,1.224,1092.2
KOI-135 b,3.23,1.22,
WASP-131 b,0.27,1.22,
WASP-34 b,0.59,1.22,1058.7
XO-3 b,11.79,1.217,1554.5
HAT-P-1 b,0.524,1.217,1182.1
WASP-28 b,0.907,1.213,1468
HAT-P-28 b,0.626,1.212,1262.4
HATS-13 b,0.543,1.212,1244
WASP-141 b,2.69,1.21,
WASP-95 b,1.13,1.21,1570
WASP-133 b,1.16,1.21,1790
WASP-77 A b,1.76,1.21,
TrES-5 b,1.778,1.209,
WASP-53 b,2.5,1.2,
HAT-P-14 b,2.2,1.2,1445.9
OGLE-TR-56 b,1.3,1.2,1390.3
Kepler-87 b,1.02,1.2,478.1
WASP-96 b,0.48,1.2,1285
Kepler-418 b,,1.2,
HAT-P-34 b,3.328,1.197,1335.3
K2-30 b,0.624,1.196,
HATS-28 b,0.672,1.194,
KOI-183 b,0.595,1.192,1605
WASP-112 b,0.88,1.191,1395
HAT-P-16 b,4.193,1.19,1567
K2-29 b,0.73,1.19,
Kepler-468 b,,1.19,
CoRoT-4 b,0.72,1.19,975.6
HAT-P-25 b,0.567,1.19,1100.1
WASP-32 b,3.6,1.19,1427.6
XO-1 b,0.9,1.184,1168
HAT-P-55 b,0.582,1.182,1313
WASP-41 b,0.94,1.18,
KELT-6 b,0.442,1.18,
HAT-P-37 b,1.169,1.178,1166.3
Kepler-670 b,,1.176,
Kepler-706 b,,1.175,
HATS-30 b,0.706,1.175,
WASP-5 b,1.637,1.171,1584
CoRoT-16 b,0.53,1.17,1085.5
KOI-428 b,2.2,1.17,
TrES-2,1.253,1.169,
HATS-2 b,1.345,1.168,1577
CoRoT-6 b,2.96,1.166,929.2
