,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr
PlanetaryMassJpt,1.0,0.1919171038524972,0.5521815731913527,0.6369611775046112,0.1354050406299072,0.017389396273639685,0.4501175580195774,0.08551101482496948,-0.42956429436546095,0.46741998961889936,-0.4837309998967081
RadiusJpt,0.1919171038524972,1.0,-0.06917672196274967,-0.058048938138319156,-0.128074094202061,0.4384352150043992,0.26898785655267377,0.22059557605241695,0.13183065328325314,0.13228186582685003,-0.2091295102763281
PeriodDays,0.5521815731913527,-0.06917672196274967,1.0,0.9859489922182816,-0.11502188986670846,-0.02151502231655824,0.45028921432291136,0.1545471294017457,-0.5277742415876492,0.5128076501574156,-0.3343087834735588
SemiMajorAxisAU,0.6369611775046112,-0.058048938138319156,0.9859489922182816,1.0,-0.12361675498050827,-0.024964140307035743,0.49861392460590664,0.17436192508859233,-0.5850337818088522,0.5676888975129942,-0.36789201364830315
Eccentricity,0.1354050406299072,-0.128074094202061,-0.11502188986670846,-0.12361675498050827,1.0,-0.345376568565872,-0.08982199128063076,-0.09428570163059355,0.25833617682584353,-0.1192071361518772,0.08705275593017701
SurfaceTempK,0.017389396273639685,0.4384352150043992,-0.02151502231655824,-0.024964140307035743,-0.345376568565872,1.0,0.32824766037964814,0.21241059155493106,0.050735789254512983,0.24051529378721956,-0.17284316327966204
HostStarMassSlrMass,0.4501175580195774,0.26898785655267377,0.45028921432291136,0.49861392460590664,-0.08982199128063076,0.32824766037964814,1.0,0.7976011012017875,-0.3372964581884007,0.8955953580032828,-0.6438003991705088
HostStarRadiusSlrRad,0.08551101482496948,0.22059557605241695,0.1545471294017457,0.17436192508859233,-0.09428570163059355,0.21241059155493106,0.7976011012017875,1.0,-0.26184033191930434,0.6652630391370397,-0.29106173688651277
HostStarMetallicity,-0.42956429436546095,0.13183065328325314,-0.5277742415876492,-0.5850337818088522,0.25833617682584353,0.050735789254512983,-0.3372964581884007,-0.26184033191930434,1.0,-0.5698921402113994,0.158401745059543
HostStarTempK,0.46741998961889936,0.13228186582685003,0.5128076501574156,0.5676888975129942,-0.1192071361518772,0.24051529378721956,0.8955953580032828,0.6652630391370397,-0.5698921402113994,1.0,-0.6322334283990316
HostStarAgeGyr,-0.4837309998967081,-0.2091295102763281,-0.3343087834735588,-0.36789201364830315,0.08705275593017701,-0.17284316327966204,-0.6438003991705088,-0.29106173688651277,0.158401745059543,-0.6322334283990316,1.0
